Карпенка-Карого вулиця	вулиця Карпенка-Карого
Каспрука вулиця	вулиця Каспрука
Катерини Білокур вулиця	вулиця Катерини Білокур
Кауркова вулиця	вулиця Кауркова
Качалова вулиця	вулиця Качалова
Квачука вулиця	вулиця Квачука
Квітки-Основ’яненка вулиця	вулиця Квітки-Основʼяненка
Киричука вулиця	вулиця Киричука
Кисіля вулиця	вулиця Кисіля
Кіборгів вулиця	вулиця Кіборгів
Кірова вулиця	вулиця Кірова
Клари Цеткін вулиця	вулиця Клари Цеткін
Клебанщина вулиця	вулиця Клебанщина
Клима Савура вулиця	вулиця Клима Савура
Клима Савури вулиця	вулиця Клима Савури
Княгині Ольги вулиця	вулиця Княгині Ольги
Князів острозьких вулиця	вулиця Князів Острозьких
Князів Острозьких вулиця	вулиця Князів Острозьких
Князів Ружинських вулиця	вулиця Князів Ружинських
Князя Василька вулиця	вулиця Князя Василька
Князя Володимира вулиця	вулиця Князя Володимира
Князя Всеволода вулиця	вулиця Князя Всеволода
Князя Любаша вулиця	вулиця Князя Любаша
Князя Мстислава вулиця	вулиця Князя Мстислава
Князя Олега вулиця	вулиця Князя Олега
Князя Острозького вулиця	вулиця Князя Острозького
Князя Романа вулиця	вулиця Князя Романа
Князя Романа Великого вулиця	вулиця Князя Романа Великого
Кобзаря вулиця	вулиця Кобзаря
Кобилянської вулиця	вулиця Кобилянської
Ковальова вулиця	вулиця Ковальова
Ковальчуків вулиця	вулиця Ковальчуків
Ковпака вулиця	вулиця Ковпака
Ковського вулиця	вулиця Ковського
Кожедуба вулиця	вулиця Кожедуба
Козакова вулиця	вулиця Козакова
Козацької слави вулиця	вулиця Козацької Слави
Козацької Слави вулиця	вулиця Козацької Слави
Козіно вулиця	вулиця Козіно
Кокінакі вулиця	вулиця Кокінакі
Коккінакі вулиця	вулиця Коккінакі
Кольцова вулиця	вулиця Кольцова
комарова вулиця	вулиця Комарова
Комарова вулиця	вулиця Комарова
Комка вулиця	вулиця Комка
Кондзелевича вулиця	вулиця Кондзелевича
Кондратюка вулиця	вулиця Кондратюка
Конищука вулиця	вулиця Конищука
Коновалова вулиця	вулиця Коновалова
Коновальця вулиця	вулиця Коновальця
Конотопської битви вулиця	вулиця Конотопської Битви
Конотопської Битви вулиця	вулиця Конотопської Битви
Конякіна вулиця	вулиця Конякіна
Копань вулиця	вулиця Копань
Коперника вулиця	вулиця Коперника
Коперніка вулиця	вулиця Коперніка
Корея вулиця	вулиця Корея
Короленка вулиця	вулиця Короленка
Корольова вулиця	вулиця Корольова
Короля Данила вулиця	вулиця Короля Данила
Косачів вулиця	вулиця Косачів
Космодем'янської вулиця	вулиця Космодемʼянської
Космонавтів вулиця	вулиця Космонавтів
Костомарова вулиця	вулиця Костомарова
Костючика вулиця	вулиця Костючика
Костюшка вулиця	вулиця Костюшка
Костюшко вулиця	вулиця Костюшко
Коте Шилокадзе вулиця	вулиця Коте Шилокадзе
Котляревського вулиця	вулиця Котляревського
Котовського вулиця	вулиця Котовського
Коцюбинського вулиця	вулиця Коцюбинського
Кочерги вулиця	вулиця Кочерги
Кошового вулиця	вулиця Кошового
Кравчука вулиця	вулиця Кравчука
Кривенького вулиця	вулиця Кривенького
Кривий Вал вулиця	вулиця Кривий Вал
Кривоноса вулиця	вулиця Кривоноса
Крилова вулиця	вулиця Крилова
Кримського вулиця	вулиця Кримського
Кропивницького вулиця	вулиця Кропивницького
Крупської вулиця	вулиця Крупської
Крушельницького вулиця	вулиця Крушельницького
Крушельницької вулиця	вулиця Крушельницької
Кузнецова вулиця	вулиця Кузнецова
Кузнєцова вулиця	вулиця Кузнєцова
Кузьміна вулиця	вулиця Кузьміна
Куйбишева вулиця	вулиця Куйбишева
Кулаковського вулиця	вулиця Кулаковського
Куліша вулиця	вулиця Куліша
Кунцевича вулиця	вулиця Кунцевича
Купріна вулиця	вулиця Купріна
Куптія вулиця	вулиця Куптія
Курбаса вулиця	вулиця Курбаса
Курчатова вулиця	вулиця Курчатова
Кутузова вулиця	вулиця Кутузова
Л. Толстого вулиця	вулиця Л. Толстого
Лаврентія Горки вулиця	вулиця Лаврентія Горки
Лазарчука вулиця	вулиця Лазарчука
Лазо вулиця	вулиця Лазо
Ландау вулиця	вулиця Ландау
Лаховського вулиця	вулиця Лаховського
Левінцова вулиця	вулиця Левінцова
Левітана вулиця	вулиця Левітана
вулиця Левка Лук'яненка	вулиця Левка Лукʼяненка
Левка Лук'яненка вулиця	вулиця Левка Лукʼяненка
Левченка вулиця	вулиця Левченка
Лейтенанта Кібенок вулиця	вулиця Лейтенанта Кібенок
Леніна вулиця	вулиця Леніна
Леоніда Каденюка вулиця	вулиця Леоніда Каденюка
Леонтовича вулиця	вулиця Леонтовича
Лермонтова вулиця	вулиця Лермонтова
Лесі Паєвської вулиця	вулиця Лесі Паєвської
Лесі Українки вулиця	вулиця Лесі Українки
Лесі УКраїнки вулиця	вулиця Лесі Українки
ЛЕСІ УКРАЇНКИ вулиця	вулиця Лесі Українки
Леся Курбаса вулиця	вулиця Леся Курбаса
Леся Мартовича вулиця	вулиця Леся Мартовича
Лечин вулиця	вулиця Лечин
Лєскова вулиця	вулиця Лєскова
Липинського вулиця	вулиця Липинського
Липкана вулиця	вулиця Липкана
Лисенка вулиця	вулиця Лисенка
Лізи Чайкіної вулиця	вулиця Лізи Чайкіної
Лобачевського вулиця	вулиця Лобачевського
Локачинського вулиця	вулиця Локачинського
Ломоносова вулиця	вулиця Ломоносова
Лопатіна вулиця	вулиця Лопатіна
Лотоцького вулиця	вулиця Лотоцького
Лук’яна Кобилиці вулиця	вулиця Лукʼяна Кобилиці
Льва Толстого вулиця	вулиця Льва Толстого
Любини вулиця	вулиця Любини
Людмирської Діви вулиця	вулиця Людмирської Діви
Мазепи вулиця	вулиця Мазепи
Майструка вулиця	вулиця Майструка
Макаренка вулиця	вулиця Макаренка
Макарова вулиця	вулиця Макарова
Маковського вулиця	вулиця Маковського
Максима Горького вулиця	вулиця Максима Горького
Максима Залізняка вулиця	вулиця Максима Залізняка
Максима Кривоноса вулиця	вулиця Максима Кривоноса
Максима Рильського вулиця	вулиця Максима Рильського
Максимука вулиця	вулиця Максимука
Кут Малиновий вулиця	вулиця Малиновий Кут
Малишка вулиця	вулиця Малишка
Малієвських вулиця	вулиця Малієвських
Малієвського вулиця	вулиця Малієвського
Мальчевського вулиця	вулиця Мальчевського
Маргарити Малиновської вулиця	вулиця Маргарити Малиновської
Марії Заньковецької вулиця	вулиця Марії Заньковецької
Марка Безручка вулиця	вулиця Марка Безручка
Марка Вовчка вулиця	вулиця Марка Вовчка
Марка Кримчука вулиця	вулиця Марка Кримчука
Марка Черемшини вулиця	вулиця Марка Черемшини
Маркевича вулиця	вулиця Маркевича
Марко Вовчок вулиця	вулиця Марко Вовчок
Мартинюка вулиця	вулиця Мартинюка
Марусі Богуславки вулиця	вулиця Марусі Богуславки
Марусі Чурай вулиця	вулиця Марусі Чурай
Матейка вулиця	вулиця Матейка
Матиюка вулиця	вулиця Матиюка
Матієнка вулиця	вулиця Матієнка
матросова вулиця	вулиця Матросова
Матросова вулиця	вулиця Матросова
Маяковського вулиця	вулиця Маяковського
Меліораторів вулиця	вулиця Меліораторів
Мельника вулиця	вулиця Мельника
Менделєєва вулиця	вулиця Менделєєва
Менчикова вулиця	вулиця Менчикова
Механізаторів вулиця	вулиця Механізаторів
Мечникова вулиця	вулиця Мечникова
Мєдвєдєва вулиця	вулиця Мєдвєдєва
Миколи Аркаса вулиця	вулиця Миколи Аркаса
Миколи Букатевича вулиця	вулиця Миколи Букатевича
Миколи Коперника вулиця	вулиця Миколи Коперника
Миколи Куделі вулиця	вулиця Миколи Куделі
Миколи Леонтовича вулиця	вулиця Миколи Леонтовича
Миколи Лисенка вулиця	вулиця Миколи Лисенка
Миколи Макаренка вулиця	вулиця Миколи Макаренка
Миколи Міхновського вулиця	вулиця Миколи Міхновського
Миколи Островського вулиця	вулиця Миколи Островського
Миколи Пирогова вулиця	вулиця Миколи Пирогова
