Перша вулиця                                                                  	1-ша вулиця
Словацького вулиця                                                            	вулиця Словацького
Смердова вулиця                                                               	вулиця Смердова
Смеречанського вулиця                                                         	вулиця Смеречанського
Смерічка вулиця                                                               	вулиця Смерічка
Сміливих вулиця                                                               	вулиця Сміливих
Соборності вулиця                                                             	вулиця Соборності
Содомори вулиця                                                               	вулиця Содомори
Сокола-Батька вулиця                                                          	вулиця Сокола-Батька
Соломії Крушельницької вулиця                                                 	вулиця Соломії Крушельницької
Соломії Крушильницької вулиця                                                 	вулиця Соломії Крушильницької
Соломона Ляйнберга вулиця                                                     	вулиця Соломона Ляйнберга
Соломона Рокаха вулиця                                                        	вулиця Соломона Рокаха
Солом’янка вулиця                                                             	вулиця Соломʼянка
Солоний Ставок вулиця                                                         	вулиця Солоний Ставок
Солтиський Лан вулиця                                                         	вулиця Солтиський Лан
Сопілки вулиця                                                                	вулиця Сопілки
Соснова поляна вулиця                                                         	вулиця Соснова Поляна
Сосюри вулиця                                                                 	вулиця Сосюри
Сотника Василя Панаса вулиця                                                  	вулиця Сотника Василя Панаса
Сотника Перемоги вулиця                                                       	вулиця Сотника Перемоги
Сотника УПА Бурлаки вулиця                                                    	вулиця Сотника УПА Бурлаки
Софії Галечко вулиця                                                          	вулиця Софії Галечко
Софії Караффи-Корбут вулиця                                                   	вулиця Софії Караффи-Корбут
Софії Ковалевської вулиця                                                     	вулиця Софії Ковалевської
Софії Яблонської вулиця                                                       	вулиця Софії Яблонської
Союзу Українок вулиця                                                         	вулиця Союзу Українок
Спартака вулиця                                                               	вулиця Спартака
Спаса вулиця                                                                  	вулиця Спаса
Спринька вулиця                                                               	вулиця Спринька
Ставище вулиця                                                                	вулиця Ставище
Стадників вулиця                                                              	вулиця Стадників
Сталіградської битви вулиця                                                   	вулиця Сталіградської Битви
Станівки вулиця                                                               	вулиця Станівки
Станіслава Людкевича вулиця                                                   	вулиця Станіслава Людкевича
Станіслава Морозенка вулиця                                                   	вулиця Станіслава Морозенка
Станіслава Скарбека вулиця                                                    	вулиця Станіслава Скарбека
Станція Личаків вулиця                                                        	вулиця Станція Личаків
Старе Село вулиця                                                             	вулиця Старе Село
Старицького вулиця                                                            	вулиця Старицького
Степана Бандери вулиця                                                        	вулиця Степана Бандери
Степана Бродяка вулиця                                                        	вулиця Степана Бродяка
Степана Васильченка вулиця                                                    	вулиця Степана Васильченка
Степана Витвицького вулиця                                                    	вулиця Степана Витвицького
Степана Гайдучка вулиця                                                       	вулиця Степана Гайдучка
Степана Грабара вулиця                                                        	вулиця Степана Грабара
Степана Дубравського вулиця                                                   	вулиця Степана Дубравського
Степана Качали вулиця                                                         	вулиця Степана Качали
Степана Ленкавського вулиця                                                   	вулиця Степана Ленкавського
Степана Мацьківа вулиця                                                       	вулиця Степана Мацьківа
Степана Мельниковича вулиця                                                   	вулиця Степана Мельниковича
Степана Онишкевича вулиця                                                     	вулиця Степана Онишкевича
Степана Охримовича вулиця                                                     	вулиця Степана Охримовича
Степана Разіна вулиця                                                         	вулиця Степана Разіна
Степана Руданського вулиця                                                    	вулиця Степана Руданського
Степана Семенюка вулиця                                                       	вулиця Степана Семенюка
Степана Смаль-Стоцького вулиця                                                	вулиця Степана Смаль-Стоцького
Степана Стебельського вулиця                                                  	вулиця Степана Стебельського
Степана Томашівського вулиця                                                  	вулиця Степана Томашівського
Степана Тудора вулиця                                                         	вулиця Степана Тудора
Степана Турчака вулиця                                                        	вулиця Степана Турчака
Степана Федака вулиця                                                         	вулиця Степана Федака
Степана Чарнецького вулиця                                                    	вулиця Степана Чарнецького
Степана Шаха вулиця                                                           	вулиця Степана Шаха
Стефана Банаха вулиця                                                         	вулиця Стефана Банаха
Стефана Коваліва вулиця                                                       	вулиця Стефана Коваліва
Стефаника вулиця                                                              	вулиця Стефаника
Стефанії Вітрук вулиця                                                        	вулиця Стефанії Вітрук
Стефанії Шабатури вулиця                                                      	вулиця Стефанії Шабатури
Стефаніка вулиця                                                              	вулиця Стефаніка
Сторона вулиця                                                                	вулиця Сторона
Стрий вулиця                                                                  	вулиця Стрий
Стронка вулиця                                                                	вулиця Сторонка
Струмок вулиця                                                                	вулиця Струмок
Стуса вулиця                                                                  	вулиця Стуса
Суворова вулиця                                                               	вулиця Суворова
Сурікова вулиця                                                               	вулиця Сурікова
Суха Воля вулиця                                                              	вулиця Суха Воля
Суховоля вулиця                                                               	вулиця Суховоля
Сяйво вулиця                                                                  	вулиця Сяйво
Т. Шевченка вулиця                                                            	вулиця Т. Шевченка
Тадеуша Бой-Желенського вулиця                                                	вулиця Тадеуша Бой-Желенського
Тадеуша Костюшка вулиця                                                       	вулиця Тадеуша Костюшка
Тадея Дмитрасевича вулиця                                                     	вулиця Тадея Дмитрасевича
Тадея Швеця вулиця                                                            	вулиця Тадея Швеця
Тадоровець вулиця                                                             	вулиця Тадоровець
Танасієнка вулиця                                                             	вулиця Танасієнка
Танчука вулиця                                                                	вулиця Танчука
Тараса Бобанича «Хаммера» вулиця                                              	вулиця Тараса Бобанича «Хаммера»
Тараса Вислоцького вулиця                                                     	вулиця Тараса Вислоцького
Тараса Дороша вулиця                                                          	вулиця Тараса Дороша
Тараса Драбика вулиця                                                         	вулиця Тараса Драбика
Тараса Зозулі вулиця                                                          	вулиця Тараса Зозулі
Тараса Михаця вулиця                                                          	вулиця Тараса Михаця
Тараса Трясила вулиця                                                         	вулиця Тараса Трясила
Тараса Чупринки вулиця                                                        	вулиця Тараса Чупринки
Тараса  Шевченка вулиця                                                       	вулиця Тараса Шевченка
Тараса Шевченка вулиця                                                        	вулиця Тараса Шевченка
Тараса Шевченка Вулиця                                                        	вулиця Тараса Шевченка
Taраса Шевченка вулиця                                                        	вулиця Тараса Шевченка
Тараса Шевченка / Лесі Українки вулиця                                        	вулиця Тараса Шевченка / вулиця Лесі Українки
Tарасівка вулиця                                                              	вулиця Тарасівка
Тарнавка вулиця                                                               	вулиця Тарнавка
Тарнавського вулиця                                                           	вулиця Тарнавського
Тарниця вулиця                                                                	вулиця Тарниця
Тельмана вулиця                                                               	вулиця Тельмана
Темницьких вулиця                                                             	вулиця Темницьких
Теодозія Савки вулиця                                                         	вулиця Теодозія Савки
Теодора Олексишина вулиця                                                     	вулиця Теодора Олексишина
Теодора Скрипця вулиця                                                        	вулиця Теодора Скрипця
Теофіла Комаринця вулиця                                                      	вулиця Теофіла Комаринця
Теофіла Копистинського вулиця                                                 	вулиця Теофіла Копистинського
Теофіла Окуневського вулиця                                                   	вулиця Теофіла Окуневського
Терехівка вулиця                                                              	вулиця Терехівка
Терешковоі вулиця                                                             	вулиця Терешкової
Терешкової вулиця                                                             	вулиця Терешкової
Теришкова вулиця;Терешкової вулиця                                            	вулиця Теришкова;вулиця Терешкової
Тернавка вулиця                                                               	вулиця Тернавка
Тернавського вулиця                                                           	вулиця Тернавського
Тернів вулиця                                                                 	вулиця Тернів
Тершаковців вулиця                                                            	вулиця Тершаковців
Тимка Падури вулиця                                                           	вулиця Тимка Падури
Тимофія Бордуляка вулиця                                                      	вулиця Тимофія Бордуляка
Тимошенка вулиця                                                              	вулиця Тимошенка
Тирса Венгриновича вулиця                                                     	вулиця Тирса Венгриновича
Тиса вулиця                                                                   	вулиця Тиса
Тита Реваковича вулиця                                                        	вулиця Тита Реваковича
Тобілевича вулиця                                                             	вулиця Тобілевича
Толерантності вулиця                                                          	вулиця Толерантності
Толстого вулиця                                                               	вулиця Толстого
Томаша Масарика вулиця                                                        	вулиця Томаша Масарика
Торговиця вулиця                                                              	вулиця Торговиця
Трактористів вулиця                                                           	вулиця Трактористів
Третього Гетьманату вулиця                                                    	вулиця Третього Гетьманату
Тростянець вулиця                                                             	вулиця Тростянець
Труша вулиця                                                                  	вулиця Труша
Туган-Барановського вулиця                                                    	вулиця Туган-Барановського
Туманівка вулиця                                                              	вулиця Туманівка
Тургенєва вулиця                                                              	вулиця Тургенєва
Тур’є Горішнє вулиця                                                          	вулиця Турʼє Горішнє
Тютюнників вулиця                                                             	вулиця Тютюнників
Узвіз вулиця                                                                  	вулиця Узвіз
Української Головної Визвольної Ради вулиця                                   	вулиця Української Головної Визвольної Ради
Уласа Самчука вулиця                                                          	вулиця Уласа Самчука
Уличнянка вулиця                                                              	вулиця Уличнянка
Ульянової вулиця                                                              	вулиця Ульянової
Уляни Кравченко вулиця                                                        	вулиця Уляни Кравченко
УПА вулиця                                                                    	вулиця УПА
Устима Кармалюка вулиця                                                       	вулиця Устима Кармалюка
Устияновича вулиця                                                            	вулиця Устияновича
Устияновичів вулиця                                                           	вулиця Устияновичів
Устіяновича вулиця                                                            	вулиця Устіяновича
Учасників АТО вулиця                                                          	вулиця Учасників АТО
Ушакова вулиця                                                                	вулиця Ушакова
Фавста Лопатинського вулиця                                                   	вулиця Фавста Лопатинського
Федіра Черника вулиця                                                         	вулиця Федіра Черника
Федора Вовка вулиця                                                           	вулиця Федора Вовка
Федора Коріятовича вулиця                                                     	вулиця Федора Коріятовича
Федора Сеньковича вулиця                                                      	вулиця Федора Сеньковича
Федоровича вулиця                                                             	вулиця Федоровича
Федорці вулиця                                                                	вулиця Федорці
Федуска вулиця                                                                	вулиця Федуска
Федюка вулиця                                                                 	вулиця Федюка
Фелікса Веста вулиця                                                          	вулиця Фелікса Веста
Фелікса Кона вулиця                                                           	вулиця Фелікса Кона
Ференца Ліста вулиця                                                          	вулиця Ференца Ліста
Фідзюри вулиця                                                                	вулиця Фідзюри
Філарета Колесси вулиця                                                       	вулиця Філарета Колесси
Філатова вулиця                                                               	вулиця Філатова
Фільварки вулиця                                                              	вулиця Фільварки
Фінляндія вулиця                                                              	вулиця Фінляндія
Франка вулиця                                                                 	вулиця Франка
Франтішека Ржегоржа вулиця                                                    	вулиця Франтішека Ржегоржа
Франциска Скорини вулиця                                                      	вулиця Франциска Скорини
Фридерика Шопена вулиця                                                       	вулиця Фридерика Шопена
Фролич вулиця                                                                 	вулиця Фролич
Фрунзе вулиця                                                                 	вулиця Фрунзе
Фурманова вулиця                                                              	вулиця Фурманова
Хвильового вулиця                                                             	вулиця Хвильового
Хирів вулиця                                                                  	вулиця Хирів
Хмельницького вулиця                                                          	вулиця Хмельницького
Хмелюка вулиця                                                                	вулиця Хмелюка
Хоробрих вулиця                                                               	вулиця Хоробрих
Хоробрівка вулиця                                                             	вулиця Хоробрівка
Храпая вулиця                                                                 	вулиця Храпая
Христини Алчевської вулиця                                                    	вулиця Христини Алчевської
Христини Сушко-Скачківської вулиця                                            	вулиця Христини Сушко-Скачківської
Христо Ботева вулиця                                                          	вулиця Христо Ботева
Христофора Колумба вулиця                                                     	вулиця Христофора Колумба
Хутір вулиця                                                                  	вулиця Хутір
хутір Гатки вулиця                                                            	вулиця Хутір Гатки
Хутір Гатки вулиця                                                            	вулиця Хутір Гатки
хутір Мідне вулиця                                                            	вулиця Хутір Мідне
Хутір Під Лісом вулиця                                                        	вулиця Хутір Під Лісом
Хутір Саси вулиця                                                             	вулиця Хутір Саси
Хутір Тарнава вулиця                                                          	вулиця Хутір Тарнава
Хутір Тернава вулиця                                                          	вулиця Хутір Тернава
Хуторівка вулиця                                                              	вулиця Хуторівка
Цвяньковець вулиця                                                            	вулиця Цвяньковець
Цеткін вулиця                                                                 	вулиця Цеткін
Цетнерівка вулиця                                                             	вулиця Цетнерівка
Циганівка вулиця                                                              	вулиця Циганівка
Ціолковського вулиця                                                          	вулиця Ціолковського
Чайкіной вулиця                                                               	вулиця Чайкіной
Чайковського вулиця                                                           	вулиця Чайковського
Чапаєва вулиця                                                                	вулиця Чапаєва
Чачковського вулиця                                                           	вулиця Чачковського
Чебишева вулиця                                                               	вулиця Чебишева
Чекістів вулиця                                                               	вулиця Чекістів
Челюскінців вулиця                                                            	вулиця Челюскінців
Червоної Калини вулиця                                                        	вулиця Червоної Калини
Чернеча Гора вулиця                                                           	вулиця Чернеча Гора
Черника вулиця                                                                	вулиця Черника
Чернишевського вулиця                                                         	вулиця Чернишевського
Черняховського вулиця                                                         	вулиця Черняховського
Чертежик вулиця                                                               	вулиця Чертежик
Чехова вулиця                                                                 	вулиця Чехова
Чистопілля вулиця                                                             	вулиця Чистопілля
Чкалова вулиця                                                                	вулиця Чкалова
Чорновола вулиця                                                              	вулиця Чорновола
Чубинського вулиця                                                            	вулиця Чубинського
Чугайстра вулиця                                                              	вулиця Чугайстра
Чупринки вулиця                                                               	вулиця Чупринки
Чучвари вулиця                                                                	вулиця Чучвари
Шанковських вулиця                                                            	вулиця Шанковських
Шапошникова вулиця                                                            	вулиця Шапошникова
Шарки вулиця                                                                  	вулиця Шарки
Шашкевича вулиця                                                              	вулиця Шашкевича
Шевченка вулиця                                                               	вулиця Шевченка
Шевчука вулиця                                                                	вулиця Шевчука
Шептицьких вулиця                                                             	вулиця Шептицьких
Шептицького вулиця                                                            	вулиця Шептицького
Шешкевича вулиця                                                              	вулиця Шешкевича
Шиблеї вулиця                                                                 	вулиця Шиблеї
Шибуньки вулиця                                                               	вулиця Шибуньки
Широке вулиця                                                                 	вулиця Широке
Шишкіна вулиця                                                                	вулиця Шишкіна
Шімзерів вулиця                                                               	вулиця Шімзерів
Шкрібляків вулиця                                                             	вулиця Шкрібляків
Шляхта вулиця                                                                 	вулиця Шляхта
Шолом-Алейхема вулиця                                                         	вулиця Шолом-Алейхема
Шота Руставелі вулиця                                                         	вулиця Шота Руставелі
Шумлявщина вулиця                                                             	вулиця Шумлявщина
Шумлянських вулиця                                                            	вулиця Шумлянських
Шуптарівка вулиця                                                             	вулиця Шуптарівка
Шутрівка вулиця                                                               	вулиця Шутрівка
Шутуство вулиця                                                               	вулиця Шутуство
Шухевича вулиця                                                               	вулиця Шухевича
Шушкевича вулиця                                                              	вулиця Шушкевича
Щастя вулиця                                                                  	вулиця Щастя
Щомаківський Горб вулиця                                                      	вулиця Щомаківський Горб
Щорса вулиця                                                                  	вулиця Щорса
Щурата вулиця                                                                 	вулиця Щурата
Щусєва вулиця                                                                 	вулиця Щусєва
Юзефа Коженьовського вулиця                                                   	вулиця Юзефа Коженьовського
Юліана Бачинського вулиця                                                     	вулиця Юліана Бачинського
Юліана Буцманюка вулиця                                                       	вулиця Юліана Буцманюка
Юліана Вороновського вулиця                                                   	вулиця Юліана Вороновського
Юліана Головінського вулиця                                                   	вулиця Юліана Головінського
Юліана Дороша вулиця                                                          	вулиця Юліана Дороша
Юліана Захарієвича вулиця                                                     	вулиця Юліана Захарієвича
Юліана Опільського вулиця                                                     	вулиця Юліана Опільського
Юліана Романчука вулиця                                                       	вулиця Юліана Романчука
Юліана Чорнія вулиця                                                          	вулиця Юліана Чорнія
Юлії Миндик вулиця                                                            	вулиця Юлії Миндик
Юліуша Словацького вулиця                                                     	вулиця Юліуша Словацького
Юліяна Чучмана вулиця                                                         	вулиця Юліяна Чучмана
Юність вулиця                                                                 	вулиця Юність
Юності вулиця                                                                 	вулиця Юності
Юридика вулиця                                                                	вулиця Юридика
Юрія Березинського вулиця                                                     	вулиця Юрія Березинського
Юрія Гагаріна вулиця                                                          	вулиця Юрія Гагаріна
Юрія Горліса-Горського вулиця                                                 	вулиця Юрія Горліса-Горського
Юрія Дрогобича вулиця                                                         	вулиця Юрія Дрогобича
Юрія Дяковського вулиця                                                       	вулиця Юрія Дяковського
Юрія Кондратюка вулиця                                                        	вулиця Юрія Кондратюка
Юрія Котермака вулиця                                                         	вулиця Юрія Котермака
Юрія Липи вулиця                                                              	вулиця Юрія Липи
Юрія Литвина вулиця                                                           	вулиця Юрія Литвина
Юрія Мушака вулиця                                                            	вулиця Юрія Мушака
Юрія Руфа вулиця                                                              	вулиця Юрія Руфа
Юрія Смолича вулиця                                                           	вулиця Юрія Смолича
Юрія Федьковича вулиця                                                        	вулиця Юрія Федьковича
Юрія Шухевича вулиця                                                          	вулиця Юрія Шухевича
Юрія Яновського вулиця                                                        	вулиця Юрія Яновського
Юрія-Франца Кульчицького-Шелестовича вулиця                                   	вулиця Юрія-Франца Кульчицького-Шелестовича
Я. Білика вулиця                                                              	вулиця Я. Білика
Яблочкіна вулиця                                                              	вулиця Яблочкіна
Явірський Потік вулиця                                                        	вулиця Явірський Потік
Явора вулиця                                                                  	вулиця Явора
Яворницького вулиця                                                           	вулиця Яворницького
Яківа Миколаєвича вулиця                                                      	вулиця Яківа Миколаєвича
Якова Гніздовського вулиця                                                    	вулиця Якова Гніздовського
Якова Головацького вулиця                                                     	вулиця Якова Головацького
Якова Остряниці вулиця                                                        	вулиця Якова Остряниці
Якова Раппопорта вулиця                                                       	вулиця Якова Раппопорта
Якова Степового вулиця                                                        	вулиця Якова Степового
Якова Щоголіва вулиця                                                         	вулиця Якова Щоголіва
Якуба Гаватовича вулиця                                                       	вулиця Якуба Гаватовича
Ялинівка вулиця                                                               	вулиця Ялинівка
Яловець вулиця                                                                	вулиця Яловець
Яна вулиця                                                                    	вулиця Яна
Яна Жижки вулиця                                                              	вулиця Яна Жижки
Яна Матейка вулиця                                                            	вулиця Яна Матейка
Яніса Райніса вулиця                                                          	вулиця Яніса Райніса
Янки Купали вулиця                                                            	вулиця Янки Купали
Яреми Скібінського вулиця                                                     	вулиця Яреми Скібінського
Яремчука вулиця                                                               	вулиця Яремчука
Ярослава Галана вулиця                                                        	вулиця Ярослава Галана
Ярослава Гашека вулиця                                                        	вулиця Ярослава Гашека
Ярослава Лесіва вулиця                                                        	вулиця Ярослава Лесіва
Ярослава Мудрого вулиця                                                       	вулиця Ярослава Мудрого
Ярослава Музики вулиця                                                        	вулиця Ярослава Музики
Ярослава Осмомисла вулиця                                                     	вулиця Ярослава Осмомисла
Ярослава Осьмомисла вулиця                                                    	вулиця Ярослава Осьмомисла
Ярослава Пастернака вулиця                                                    	вулиця Ярослава Пастернака
Ярослава Пстрака вулиця                                                       	вулиця Ярослава Пстрака
Ярослава Рудницького вулиця                                                   	вулиця Ярослава Рудницького
Ярослава Старуха вулиця                                                       	вулиця Ярослава Старуха
Ярослава Стецька вулиця                                                       	вулиця Ярослава Стецька
Ярослава Ярославенка вулиця                                                   	вулиця Ярослава Ярославенка
Ярошівка вулиця                                                               	вулиця Ярошівка
Ясінь вулиця                                                                  	вулиця Ясінь
Яхимовича вулиця                                                              	вулиця Яхимовича
Яцькова вулиця                                                                	вулиця Яцькова
вулійникова вулиця                                                            	Вулійникова вулиця
Голокам'янка                                                                  	Голокамʼянка
Горб’янська вулиця                                                            	Горбʼянська вулиця
Замкова горішня                                                               	Горішня Замкова вулиця
улица Городоцкая                                                              	Городоцька вулиця
Замкова долішня                                                               	Долішня Замкова вулиця
Жовтнева вулиця;Октябрьская улица                                             	Жовтнева вулиця
Вулиця Зарічна                                                                	Зарічна вулиця
Зв’язкова вулиця                                                              	Звʼязкова вулиця
