Юрія Тимошенка („Тарапуньки”) вулиця                               	вулиця Юрія Тимошенка «Тарапуньки»
Сергiя Щербака вулиця                                              	вулиця Сергія Щербака
Володимира Козака вулиця                                           	вулиця Володимира Козака
Кирила Осьмака вулиця                                              	вулиця Кирила Осьмака
Сидора Ковпака вулиця                                              	вулиця Сидора Ковпака
Ковпака провулок                                                   	провулок Ковпака
1-й Ковпака провулок                                               	1-й провулок Ковпака
2-й Ковпака провулок                                               	2-й провулок Ковпака
Ковпака вулиця                                                     	вулиця Ковпака
Ковпака вулиця;ulica Kowpaka;Kovpaka Street                        	вулиця Ковпака
Василя Сліпака вулиця                                              	вулиця Василя Сліпака
Павла Рака вулиця                                                  	вулиця Павла Рака
Спартака провулок                                                  	провулок Спартака
Спартака вулиця                                                    	вулиця Спартака
Грабчака вулиця                                                    	вулиця Грабчака
Спичака вулиця                                                     	вулиця Спичака
Майора Борищака вулиця                                             	вулиця Майора Борищака
Лабівка вулиця                                                     	вулиця Лабівка
Морозівка вулиця                                                   	вулиця Морозівка
Раківка вулиця                                                     	вулиця Раківка
Харківка вулиця                                                    	вулиця Харківка
Пакалівка вулиця                                                   	вулиця Пакалівка
Новоселівка вулиця                                                 	вулиця Новоселівка
Капилівка вулиця                                                   	вулиця Капилівка
Самойлівка вулиця                                                  	вулиця Самойлівка
Степанівка вулиця                                                  	вулиця Степанівка
Чигринівка вулиця                                                  	вулиця Чигринівка
Гресівка вулиці                                                    	вулиця Гресівка
Плисівка вулиця                                                    	вулиця Плисівка
Солдатівка вулиця                                                  	вулиця Солдатівка
Кирстівка вулиця                                                   	вулиця Кирстівка
Мукіївка вулиця                                                    	вулиця Мукіївка
Федора Вовка вулиця                                                	вулиця Федора Вовка
Вовка провулок                                                     	провулок Вовка
Вовка вулиця                                                       	вулиця Вовка
Андрія Головка провулок                                            	провулок Андрія Головка
вулиця головка                                                     	вулиця Головка
Головка вулиця                                                     	вулиця Головка
Половка вулиця                                                     	вулиця Половка
Чутовка вулиця                                                     	вулиця Чутовка
Владка вулиця                                                      	вулиця Владка
Володі Грека вулиця                                                	вулиця Володі Грека
Солопія Черевика вулиця                                            	вулиця Солопія Черевика
Мележика вулиця                                                    	вулиця Мележика
Павлика вулиця                                                     	вулиця Павлика
Івана Білика вулиця                                                	вулиця Івана Білика
Кагамлика вулиця                                                   	вулиця Кагамлика
Пилипа Орлика провулок                                             	провулок Пилипа Орлика
Пилипа Орлика вулиця                                               	вулиця Пилипа Орлика
Миколи Лемика провулок                                             	провулок Миколи Лемика
Стефаника провулок                                                 	провулок Стефаника
Василя Стефаника провулок                                          	провулок Василя Стефаника
Василя Стефаника вулиця                                            	вулиця Василя Стефаника
Чередника провулок                                                 	провулок Чередника
Чередника вулиця                                                   	вулиця Чередника
Комінника вулиця                                                   	вулиця Комінника
Григора Тютюнника вулиця                                           	вулиця Григора Тютюнника
Василя Тютюнника вулиця                                            	вулиця Василя Тютюнника
Коперника провулок                                                 	провулок Коперника
Олекси Гірника вулиця                                              	вулиця Олекси Гірника
